sample,epoch,target,port,ok,tcp_connect_ms,error
1,1781644005.9321384,PRIVATE_IP_022,502,1,7.273640,
2,1781644006.1359432,PRIVATE_IP_022,502,1,3.583123,
3,1781644006.3400903,PRIVATE_IP_022,502,1,3.904072,
4,1781644006.5439389,PRIVATE_IP_022,502,1,3.694974,
5,1781644006.7482262,PRIVATE_IP_022,502,1,4.119411,
6,1781644006.9522352,PRIVATE_IP_022,502,1,3.833129,
7,1781644007.1561182,PRIVATE_IP_022,502,1,3.737046,
8,1781644007.3601925,PRIVATE_IP_022,502,1,3.788532,
9,1781644007.5642998,PRIVATE_IP_022,502,1,3.939674,
10,1781644007.768062,PRIVATE_IP_022,502,1,3.538824,
11,1781644007.9722648,PRIVATE_IP_022,502,1,4.067074,
12,1781644008.176343,PRIVATE_IP_022,502,1,3.862562,
13,1781644008.380172,PRIVATE_IP_022,502,1,3.493730,
14,1781644008.5840964,PRIVATE_IP_022,502,1,3.756692,
15,1781644008.7881901,PRIVATE_IP_022,502,1,3.906069,
16,1781644008.992115,PRIVATE_IP_022,502,1,3.775669,
17,1781644009.1961954,PRIVATE_IP_022,502,1,3.836927,
18,1781644009.4001427,PRIVATE_IP_022,502,1,3.762768,
19,1781644009.6044672,PRIVATE_IP_022,502,1,4.133472,
20,1781644009.808474,PRIVATE_IP_022,502,1,3.786608,
21,1781644010.0122461,PRIVATE_IP_022,502,1,3.619038,
22,1781644010.2161338,PRIVATE_IP_022,502,1,3.704571,
23,1781644010.4203477,PRIVATE_IP_022,502,1,3.968250,
24,1781644010.6241052,PRIVATE_IP_022,502,1,3.540053,
25,1781644010.8283112,PRIVATE_IP_022,502,1,4.008484,
26,1781644011.0311844,PRIVATE_IP_022,502,1,2.737669,
27,1781644011.2359536,PRIVATE_IP_022,502,1,4.563305,
28,1781644011.4403682,PRIVATE_IP_022,502,1,4.205959,
29,1781644011.6440966,PRIVATE_IP_022,502,1,3.543414,
30,1781644011.8484213,PRIVATE_IP_022,502,1,4.082326,
31,1781644012.0518935,PRIVATE_IP_022,502,1,3.294044,
32,1781644012.2560694,PRIVATE_IP_022,502,1,4.067199,
33,1781644012.460359,PRIVATE_IP_022,502,1,4.035229,
34,1781644012.6637542,PRIVATE_IP_022,502,1,3.275204,
35,1781644012.867558,PRIVATE_IP_022,502,1,3.594858,
36,1781644013.0710776,PRIVATE_IP_022,502,1,3.367437,
37,1781644013.2751954,PRIVATE_IP_022,502,1,3.960805,
38,1781644013.4793966,PRIVATE_IP_022,502,1,3.963836,
39,1781644013.6829233,PRIVATE_IP_022,502,1,3.401070,
40,1781644013.8873954,PRIVATE_IP_022,502,1,4.219557,
41,1781644014.0918133,PRIVATE_IP_022,502,1,4.176037,
42,1781644014.2953985,PRIVATE_IP_022,502,1,3.325776,
43,1781644014.4993827,PRIVATE_IP_022,502,1,3.731347,
44,1781644014.7031987,PRIVATE_IP_022,502,1,3.633321,
45,1781644014.9073544,PRIVATE_IP_022,502,1,3.985250,
46,1781644015.1107924,PRIVATE_IP_022,502,1,3.306750,
47,1781644015.3153877,PRIVATE_IP_022,502,1,4.453688,
48,1781644015.519215,PRIVATE_IP_022,502,1,3.628264,
49,1781644015.721927,PRIVATE_IP_022,502,1,2.595413,
50,1781644015.926124,PRIVATE_IP_022,502,1,4.018513,
51,1781644016.1302333,PRIVATE_IP_022,502,1,3.829757,
52,1781644016.335414,PRIVATE_IP_022,502,1,4.172375,
53,1781644016.539248,PRIVATE_IP_022,502,1,3.549812,
54,1781644016.7428825,PRIVATE_IP_022,502,1,3.481463,
55,1781644016.9471529,PRIVATE_IP_022,502,1,4.034331,
56,1781644017.1508622,PRIVATE_IP_022,502,1,3.573063,
57,1781644017.355187,PRIVATE_IP_022,502,1,4.121867,
58,1781644017.5591118,PRIVATE_IP_022,502,1,3.792773,
59,1781644017.763155,PRIVATE_IP_022,502,1,3.805681,
60,1781644017.96711,PRIVATE_IP_022,502,1,3.744722,
61,1781644018.1710935,PRIVATE_IP_022,502,1,3.648653,
62,1781644018.374929,PRIVATE_IP_022,502,1,3.667646,
63,1781644018.5794406,PRIVATE_IP_022,502,1,4.260379,
64,1781644018.783115,PRIVATE_IP_022,502,1,3.476663,
65,1781644018.9868805,PRIVATE_IP_022,502,1,3.592438,
66,1781644019.1901283,PRIVATE_IP_022,502,1,3.041390,
67,1781644019.3942165,PRIVATE_IP_022,502,1,3.872601,
68,1781644019.5980828,PRIVATE_IP_022,502,1,3.710815,
69,1781644019.8023593,PRIVATE_IP_022,502,1,4.038241,
70,1781644020.0059426,PRIVATE_IP_022,502,1,3.435160,
71,1781644020.21014,PRIVATE_IP_022,502,1,4.045529,
72,1781644020.4144318,PRIVATE_IP_022,502,1,4.116521,
73,1781644020.618232,PRIVATE_IP_022,502,1,3.600647,
74,1781644020.8222008,PRIVATE_IP_022,502,1,3.783542,
75,1781644021.0264838,PRIVATE_IP_022,502,1,4.134516,
76,1781644021.2302976,PRIVATE_IP_022,502,1,3.526321,
77,1781644021.4342508,PRIVATE_IP_022,502,1,3.772864,
78,1781644021.6380804,PRIVATE_IP_022,502,1,3.638300,
79,1781644021.842188,PRIVATE_IP_022,502,1,3.902461,
80,1781644022.0449357,PRIVATE_IP_022,502,1,2.620794,
81,1781644022.2492394,PRIVATE_IP_022,502,1,4.103685,
82,1781644022.4530807,PRIVATE_IP_022,502,1,3.611158,
83,1781644022.6559439,PRIVATE_IP_022,502,1,2.675144,
84,1781644022.8603358,PRIVATE_IP_022,502,1,4.159363,
85,1781644023.0641203,PRIVATE_IP_022,502,1,3.651092,
86,1781644023.2683954,PRIVATE_IP_022,502,1,4.098022,
87,1781644023.4722998,PRIVATE_IP_022,502,1,3.702692,
88,1781644023.6759195,PRIVATE_IP_022,502,1,3.441873,
89,1781644023.8804884,PRIVATE_IP_022,502,1,4.327336,
90,1781644024.0846121,PRIVATE_IP_022,502,1,3.943549,
91,1781644024.287958,PRIVATE_IP_022,502,1,3.196835,
92,1781644024.492315,PRIVATE_IP_022,502,1,4.112319,
93,1781644024.6992223,PRIVATE_IP_022,502,1,6.669743,
94,1781644024.903656,PRIVATE_IP_022,502,1,4.191450,
95,1781644025.1073544,PRIVATE_IP_022,502,1,3.563219,
96,1781644025.3109,PRIVATE_IP_022,502,1,3.383334,
97,1781644025.5153062,PRIVATE_IP_022,502,1,4.231990,
98,1781644025.7190886,PRIVATE_IP_022,502,1,3.527257,
99,1781644025.922957,PRIVATE_IP_022,502,1,3.665065,
100,1781644026.1264627,PRIVATE_IP_022,502,1,3.300894,
101,1781644026.3302555,PRIVATE_IP_022,502,1,3.533336,
102,1781644026.5339932,PRIVATE_IP_022,502,1,3.527494,
103,1781644026.7384439,PRIVATE_IP_022,502,1,4.193611,
104,1781644026.9422326,PRIVATE_IP_022,502,1,3.563423,
105,1781644027.1458704,PRIVATE_IP_022,502,1,3.508787,
106,1781644027.3506668,PRIVATE_IP_022,502,1,4.576151,
107,1781644027.5552218,PRIVATE_IP_022,502,1,4.312229,
108,1781644027.75936,PRIVATE_IP_022,502,1,3.951464,
109,1781644027.9632168,PRIVATE_IP_022,502,1,3.618663,
110,1781644028.1671739,PRIVATE_IP_022,502,1,3.786437,
111,1781644028.3735523,PRIVATE_IP_022,502,1,6.092632,
112,1781644028.5773993,PRIVATE_IP_022,502,1,3.653443,
113,1781644028.7811806,PRIVATE_IP_022,502,1,3.534337,
114,1781644028.983788,PRIVATE_IP_022,502,1,2.472064,
115,1781644029.187937,PRIVATE_IP_022,502,1,3.918947,
116,1781644029.3923063,PRIVATE_IP_022,502,1,4.091492,
117,1781644029.5958292,PRIVATE_IP_022,502,1,3.361996,
118,1781644029.7999382,PRIVATE_IP_022,502,1,3.944481,
119,1781644030.0026162,PRIVATE_IP_022,502,1,2.530866,
120,1781644030.205888,PRIVATE_IP_022,502,1,3.096762,
121,1781644030.409965,PRIVATE_IP_022,502,1,3.859048,
122,1781644030.6145177,PRIVATE_IP_022,502,1,4.368976,
123,1781644030.8184304,PRIVATE_IP_022,502,1,3.720817,
124,1781644031.022004,PRIVATE_IP_022,502,1,3.369222,
125,1781644031.2261307,PRIVATE_IP_022,502,1,3.816896,
126,1781644031.4301634,PRIVATE_IP_022,502,1,3.717217,
127,1781644031.635086,PRIVATE_IP_022,502,1,4.751980,
128,1781644031.8404887,PRIVATE_IP_022,502,1,5.133340,
129,1781644032.0439653,PRIVATE_IP_022,502,1,3.334368,
130,1781644032.250408,PRIVATE_IP_022,502,1,6.196599,
131,1781644032.453925,PRIVATE_IP_022,502,1,3.277307,
132,1781644032.6583507,PRIVATE_IP_022,502,1,4.205956,
133,1781644032.8621848,PRIVATE_IP_022,502,1,3.668229,
134,1781644033.0660534,PRIVATE_IP_022,502,1,3.682159,
135,1781644033.2701156,PRIVATE_IP_022,502,1,3.814610,
136,1781644033.4740047,PRIVATE_IP_022,502,1,3.673351,
137,1781644033.6779659,PRIVATE_IP_022,502,1,3.586299,
138,1781644033.882269,PRIVATE_IP_022,502,1,4.058631,
139,1781644034.0858464,PRIVATE_IP_022,502,1,3.420572,
140,1781644034.290072,PRIVATE_IP_022,502,1,3.986626,
141,1781644034.4942946,PRIVATE_IP_022,502,1,4.008805,
142,1781644034.6982164,PRIVATE_IP_022,502,1,3.799130,
143,1781644034.902098,PRIVATE_IP_022,502,1,3.710830,
144,1781644035.1069272,PRIVATE_IP_022,502,1,4.702334,
145,1781644035.310945,PRIVATE_IP_022,502,1,3.869878,
146,1781644035.5149932,PRIVATE_IP_022,502,1,3.882807,
147,1781644035.718843,PRIVATE_IP_022,502,1,3.639495,
148,1781644035.922761,PRIVATE_IP_022,502,1,3.784676,
149,1781644036.1259937,PRIVATE_IP_022,502,1,3.106049,
150,1781644036.330193,PRIVATE_IP_022,502,1,3.898052,
151,1781644036.5337968,PRIVATE_IP_022,502,1,3.393188,
152,1781644036.7381017,PRIVATE_IP_022,502,1,4.087980,
153,1781644036.9424133,PRIVATE_IP_022,502,1,4.141367,
154,1781644037.1460996,PRIVATE_IP_022,502,1,3.527200,
155,1781644037.350152,PRIVATE_IP_022,502,1,3.882374,
156,1781644037.5539806,PRIVATE_IP_022,502,1,3.664750,
157,1781644037.760374,PRIVATE_IP_022,502,1,6.228781,
158,1781644037.9639764,PRIVATE_IP_022,502,1,3.358010,
159,1781644038.1684365,PRIVATE_IP_022,502,1,4.324738,
160,1781644038.3718722,PRIVATE_IP_022,502,1,3.288358,
161,1781644038.5748413,PRIVATE_IP_022,502,1,2.831463,
162,1781644038.7791827,PRIVATE_IP_022,502,1,4.115403,
163,1781644038.9842994,PRIVATE_IP_022,502,1,4.699003,
164,1781644039.1879025,PRIVATE_IP_022,502,1,3.480565,
165,1781644039.39226,PRIVATE_IP_022,502,1,4.196141,
166,1781644039.5963082,PRIVATE_IP_022,502,1,3.837134,
167,1781644039.8002331,PRIVATE_IP_022,502,1,3.710434,
168,1781644040.0040631,PRIVATE_IP_022,502,1,3.662515,
169,1781644040.20818,PRIVATE_IP_022,502,1,3.816567,
170,1781644040.4124298,PRIVATE_IP_022,502,1,4.073996,
171,1781644040.6181965,PRIVATE_IP_022,502,1,5.571543,
172,1781644040.8231282,PRIVATE_IP_022,502,1,4.740045,
173,1781644041.0269043,PRIVATE_IP_022,502,1,3.635796,
174,1781644041.2312198,PRIVATE_IP_022,502,1,4.063195,
175,1781644041.4350843,PRIVATE_IP_022,502,1,3.665345,
176,1781644041.6393335,PRIVATE_IP_022,502,1,4.041919,
177,1781644041.843213,PRIVATE_IP_022,502,1,3.622212,
178,1781644042.046718,PRIVATE_IP_022,502,1,3.386783,
179,1781644042.2506573,PRIVATE_IP_022,502,1,3.784739,
180,1781644042.4550502,PRIVATE_IP_022,502,1,4.104628,
181,1781644042.6588979,PRIVATE_IP_022,502,1,3.725504,
182,1781644042.863143,PRIVATE_IP_022,502,1,4.065820,
183,1781644043.0666397,PRIVATE_IP_022,502,1,3.307048,
184,1781644043.269882,PRIVATE_IP_022,502,1,3.111389,
185,1781644043.4740868,PRIVATE_IP_022,502,1,4.000488,
186,1781644043.6776464,PRIVATE_IP_022,502,1,3.419715,
187,1781644043.882459,PRIVATE_IP_022,502,1,4.665423,
188,1781644044.0858912,PRIVATE_IP_022,502,1,3.295587,
189,1781644044.2898533,PRIVATE_IP_022,502,1,3.748151,
190,1781644044.4939415,PRIVATE_IP_022,502,1,3.828568,
191,1781644044.6978757,PRIVATE_IP_022,502,1,3.697302,
192,1781644044.9023263,PRIVATE_IP_022,502,1,4.260750,
193,1781644045.1056767,PRIVATE_IP_022,502,1,3.209621,
194,1781644045.3090715,PRIVATE_IP_022,502,1,3.237287,
195,1781644045.5129876,PRIVATE_IP_022,502,1,3.774939,
196,1781644045.717257,PRIVATE_IP_022,502,1,4.062341,
197,1781644045.9218485,PRIVATE_IP_022,502,1,4.343402,
198,1781644046.1260726,PRIVATE_IP_022,502,1,4.060735,
199,1781644046.330194,PRIVATE_IP_022,502,1,3.911425,
200,1781644046.5338702,PRIVATE_IP_022,502,1,3.446975,
201,1781644046.7381797,PRIVATE_IP_022,502,1,4.032377,
202,1781644046.9421527,PRIVATE_IP_022,502,1,3.658581,
203,1781644047.1458611,PRIVATE_IP_022,502,1,3.489356,
204,1781644047.350131,PRIVATE_IP_022,502,1,4.018060,
205,1781644047.5539594,PRIVATE_IP_022,502,1,3.615610,
206,1781644047.7594151,PRIVATE_IP_022,502,1,5.157569,
207,1781644047.9628575,PRIVATE_IP_022,502,1,3.240626,
208,1781644048.1660683,PRIVATE_IP_022,502,1,3.012732,
209,1781644048.3701444,PRIVATE_IP_022,502,1,3.837267,
210,1781644048.573815,PRIVATE_IP_022,502,1,3.467198,
211,1781644048.7779164,PRIVATE_IP_022,502,1,3.932851,
212,1781644048.9824593,PRIVATE_IP_022,502,1,4.336117,
213,1781644049.1871011,PRIVATE_IP_022,502,1,4.363908,
214,1781644049.3908916,PRIVATE_IP_022,502,1,3.633163,
215,1781644049.594154,PRIVATE_IP_022,502,1,3.084165,
216,1781644049.7976549,PRIVATE_IP_022,502,1,3.385427,
217,1781644050.0010612,PRIVATE_IP_022,502,1,3.222002,
218,1781644050.2050087,PRIVATE_IP_022,502,1,3.737834,
219,1781644050.4086165,PRIVATE_IP_022,502,1,3.405120,
220,1781644050.6118634,PRIVATE_IP_022,502,1,3.098464,
221,1781644050.8158758,PRIVATE_IP_022,502,1,3.769756,
222,1781644051.0190794,PRIVATE_IP_022,502,1,2.932669,
223,1781644051.223246,PRIVATE_IP_022,502,1,3.885690,
224,1781644051.4269695,PRIVATE_IP_022,502,1,3.507435,
225,1781644051.6308167,PRIVATE_IP_022,502,1,3.640370,
226,1781644051.8376522,PRIVATE_IP_022,502,1,6.571589,
227,1781644052.0409083,PRIVATE_IP_022,502,1,3.108063,
228,1781644052.2451487,PRIVATE_IP_022,502,1,4.006614,
229,1781644052.4489589,PRIVATE_IP_022,502,1,3.558856,
230,1781644052.6527205,PRIVATE_IP_022,502,1,3.484985,
231,1781644052.8571827,PRIVATE_IP_022,502,1,4.194400,
232,1781644053.0609448,PRIVATE_IP_022,502,1,3.610159,
233,1781644053.265108,PRIVATE_IP_022,502,1,3.917105,
234,1781644053.4691277,PRIVATE_IP_022,502,1,3.737241,
235,1781644053.6726594,PRIVATE_IP_022,502,1,3.383061,
236,1781644053.8773468,PRIVATE_IP_022,502,1,4.503643,
237,1781644054.0820112,PRIVATE_IP_022,502,1,4.444411,
238,1781644054.2861507,PRIVATE_IP_022,502,1,3.912957,
239,1781644054.4901361,PRIVATE_IP_022,502,1,3.747549,
240,1781644054.6937802,PRIVATE_IP_022,502,1,3.500197,
241,1781644054.8978107,PRIVATE_IP_022,502,1,3.713721,
242,1781644055.1014774,PRIVATE_IP_022,502,1,3.520008,
243,1781644055.3047616,PRIVATE_IP_022,502,1,3.137096,
244,1781644055.5087311,PRIVATE_IP_022,502,1,3.284538,
245,1781644055.7118227,PRIVATE_IP_022,502,1,2.936369,
246,1781644055.9159951,PRIVATE_IP_022,502,1,3.876375,
247,1781644056.1196308,PRIVATE_IP_022,502,1,3.440157,
248,1781644056.3227372,PRIVATE_IP_022,502,1,2.975544,
249,1781644056.526728,PRIVATE_IP_022,502,1,3.800282,
250,1781644056.7313704,PRIVATE_IP_022,502,1,4.458941,
251,1781644056.9348266,PRIVATE_IP_022,502,1,3.254197,
252,1781644057.1387963,PRIVATE_IP_022,502,1,3.795753,
253,1781644057.3431537,PRIVATE_IP_022,502,1,4.194453,
254,1781644057.5470083,PRIVATE_IP_022,502,1,3.655413,
255,1781644057.751716,PRIVATE_IP_022,502,1,4.395220,
256,1781644057.9561024,PRIVATE_IP_022,502,1,4.126758,
257,1781644058.1599634,PRIVATE_IP_022,502,1,3.604698,
258,1781644058.3641536,PRIVATE_IP_022,502,1,4.002948,
259,1781644058.5678504,PRIVATE_IP_022,502,1,3.502875,
260,1781644058.7721841,PRIVATE_IP_022,502,1,4.071090,
261,1781644058.9761336,PRIVATE_IP_022,502,1,3.610435,
262,1781644059.1799724,PRIVATE_IP_022,502,1,3.593330,
263,1781644059.3839197,PRIVATE_IP_022,502,1,3.753580,
264,1781644059.588441,PRIVATE_IP_022,502,1,4.266963,
265,1781644059.7921882,PRIVATE_IP_022,502,1,3.559288,
266,1781644059.9957826,PRIVATE_IP_022,502,1,3.293080,
267,1781644060.19997,PRIVATE_IP_022,502,1,3.958650,
268,1781644060.4039736,PRIVATE_IP_022,502,1,3.785739,
269,1781644060.6079466,PRIVATE_IP_022,502,1,3.720817,
270,1781644060.8123076,PRIVATE_IP_022,502,1,4.199616,
271,1781644061.0160081,PRIVATE_IP_022,502,1,3.551836,
272,1781644061.2201157,PRIVATE_IP_022,502,1,3.811511,
273,1781644061.4241838,PRIVATE_IP_022,502,1,3.871705,
274,1781644061.6278734,PRIVATE_IP_022,502,1,3.472782,
275,1781644061.8321774,PRIVATE_IP_022,502,1,4.042061,
276,1781644062.0362923,PRIVATE_IP_022,502,1,3.855369,
277,1781644062.24033,PRIVATE_IP_022,502,1,3.803684,
278,1781644062.4444525,PRIVATE_IP_022,502,1,3.912766,
279,1781644062.6480029,PRIVATE_IP_022,502,1,3.323076,
280,1781644062.851997,PRIVATE_IP_022,502,1,3.647311,
281,1781644063.0550942,PRIVATE_IP_022,502,1,2.901237,
282,1781644063.2586875,PRIVATE_IP_022,502,1,3.382374,
283,1781644063.4627056,PRIVATE_IP_022,502,1,3.725557,
284,1781644063.6662183,PRIVATE_IP_022,502,1,3.303600,
285,1781644063.8697305,PRIVATE_IP_022,502,1,3.368710,
286,1781644064.0724204,PRIVATE_IP_022,502,1,2.579941,
287,1781644064.2763264,PRIVATE_IP_022,502,1,3.710975,
288,1781644064.4798653,PRIVATE_IP_022,502,1,3.398971,
289,1781644064.6836436,PRIVATE_IP_022,502,1,3.557734,
290,1781644064.8878713,PRIVATE_IP_022,502,1,3.998590,
291,1781644065.0906405,PRIVATE_IP_022,502,1,2.569118,
292,1781644065.2947955,PRIVATE_IP_022,502,1,4.002098,
293,1781644065.4990854,PRIVATE_IP_022,502,1,4.113076,
294,1781644065.7027771,PRIVATE_IP_022,502,1,3.423824,
295,1781644065.9069452,PRIVATE_IP_022,502,1,3.825028,
296,1781644066.1109207,PRIVATE_IP_022,502,1,3.781133,
297,1781644066.3145745,PRIVATE_IP_022,502,1,3.492934,
298,1781644066.517878,PRIVATE_IP_022,502,1,3.112428,
299,1781644066.7220075,PRIVATE_IP_022,502,1,3.900631,
300,1781644066.9260948,PRIVATE_IP_022,502,1,3.810258,
