api,rtt_ms
PRIVATE_IP_021,5.191088
PRIVATE_IP_021,5.528927
PRIVATE_IP_021,8.397818
PRIVATE_IP_021,4.920959
PRIVATE_IP_021,5.048990
PRIVATE_IP_021,9.050131
PRIVATE_IP_021,4.995823
PRIVATE_IP_021,3.973007
PRIVATE_IP_021,6.564856
PRIVATE_IP_021,4.488945
PRIVATE_IP_021,6.943941
PRIVATE_IP_021,10.129213
PRIVATE_IP_021,8.751869
PRIVATE_IP_021,4.483938
PRIVATE_IP_021,6.049156
PRIVATE_IP_021,2.778053
PRIVATE_IP_021,9.288073
PRIVATE_IP_021,4.708052
PRIVATE_IP_021,8.623123
PRIVATE_IP_021,6.534100
PRIVATE_IP_021,5.228996
PRIVATE_IP_021,11.815071
PRIVATE_IP_021,5.300999
PRIVATE_IP_021,7.991076
PRIVATE_IP_021,3.302097
PRIVATE_IP_021,4.868984
PRIVATE_IP_021,19.491196
PRIVATE_IP_021,6.042957
PRIVATE_IP_021,6.722927
PRIVATE_IP_021,6.771088
PRIVATE_IP_021,5.189896
PRIVATE_IP_021,6.425142
PRIVATE_IP_021,4.267931
PRIVATE_IP_021,7.192135
PRIVATE_IP_021,8.614063
PRIVATE_IP_021,6.716967
PRIVATE_IP_021,5.017996
PRIVATE_IP_021,6.628036
PRIVATE_IP_021,8.738041
PRIVATE_IP_021,4.234076
PRIVATE_IP_021,5.027056
PRIVATE_IP_021,10.606050
PRIVATE_IP_021,12.130022
PRIVATE_IP_021,4.138947
PRIVATE_IP_021,6.602049
PRIVATE_IP_021,6.243944
PRIVATE_IP_021,3.923893
PRIVATE_IP_021,7.486105
PRIVATE_IP_021,5.371809
PRIVATE_IP_021,5.246878
PRIVATE_IP_021,8.686066
PRIVATE_IP_021,3.892183
PRIVATE_IP_021,5.612135
PRIVATE_IP_021,4.386187
PRIVATE_IP_021,4.557133
PRIVATE_IP_021,2.822876
PRIVATE_IP_021,4.565954
PRIVATE_IP_021,7.351875
PRIVATE_IP_021,6.573915
PRIVATE_IP_021,5.554914
PRIVATE_IP_021,5.626917
PRIVATE_IP_021,5.525827
PRIVATE_IP_021,5.465031
PRIVATE_IP_021,7.126093
PRIVATE_IP_021,7.915974
PRIVATE_IP_021,5.921125
PRIVATE_IP_021,8.768082
PRIVATE_IP_021,4.594088
PRIVATE_IP_021,3.345966
PRIVATE_IP_021,4.853964
PRIVATE_IP_021,4.821062
PRIVATE_IP_021,10.586977
PRIVATE_IP_021,4.958153
PRIVATE_IP_021,6.891966
PRIVATE_IP_021,12.805939
PRIVATE_IP_021,7.785082
PRIVATE_IP_021,4.781961
PRIVATE_IP_021,6.717920
PRIVATE_IP_021,5.180836
PRIVATE_IP_021,4.075050
PRIVATE_IP_021,5.846024
PRIVATE_IP_021,4.513979
PRIVATE_IP_021,11.634111
PRIVATE_IP_021,5.833149
PRIVATE_IP_021,4.433155
PRIVATE_IP_021,7.344961
PRIVATE_IP_021,4.318953
PRIVATE_IP_021,5.984068
PRIVATE_IP_021,5.547047
PRIVATE_IP_021,4.515886
PRIVATE_IP_021,7.156134
PRIVATE_IP_021,4.235983
PRIVATE_IP_021,4.846096
PRIVATE_IP_021,5.497932
PRIVATE_IP_021,6.222963
PRIVATE_IP_021,3.870010
PRIVATE_IP_021,6.196976
PRIVATE_IP_021,5.463123
PRIVATE_IP_021,4.565001
PRIVATE_IP_021,5.010128
PRIVATE_IP_021,4.945040
PRIVATE_IP_021,3.740072
PRIVATE_IP_021,4.566908
PRIVATE_IP_021,5.537033
PRIVATE_IP_021,5.958080
PRIVATE_IP_021,5.759001
PRIVATE_IP_021,7.362127
PRIVATE_IP_021,9.635925
PRIVATE_IP_021,4.683018
PRIVATE_IP_021,4.410028
PRIVATE_IP_021,4.945993
PRIVATE_IP_021,5.295992
PRIVATE_IP_021,7.733107
PRIVATE_IP_021,5.608082
PRIVATE_IP_021,4.777908
PRIVATE_IP_021,5.697966
PRIVATE_IP_021,6.580114
PRIVATE_IP_021,6.591082
PRIVATE_IP_021,4.508018
PRIVATE_IP_021,4.280090
PRIVATE_IP_021,6.459951
PRIVATE_IP_021,7.776022
PRIVATE_IP_021,7.591009
PRIVATE_IP_021,6.585121
PRIVATE_IP_021,4.513979
PRIVATE_IP_021,6.464958
PRIVATE_IP_021,5.148172
PRIVATE_IP_021,6.717920
PRIVATE_IP_021,6.966829
PRIVATE_IP_021,8.897066
PRIVATE_IP_021,4.001856
PRIVATE_IP_021,7.429123
PRIVATE_IP_021,6.171942
PRIVATE_IP_021,7.170916
PRIVATE_IP_021,4.096985
PRIVATE_IP_021,6.842852
PRIVATE_IP_021,4.362822
PRIVATE_IP_021,6.314039
PRIVATE_IP_021,7.318020
PRIVATE_IP_021,5.604029
PRIVATE_IP_021,4.698992
PRIVATE_IP_021,5.527020
PRIVATE_IP_021,4.407883
PRIVATE_IP_021,4.123926
PRIVATE_IP_021,3.695011
PRIVATE_IP_021,6.536007
PRIVATE_IP_021,11.670828
PRIVATE_IP_021,6.365061
PRIVATE_IP_021,5.377054
PRIVATE_IP_021,4.294157
PRIVATE_IP_021,4.446030
PRIVATE_IP_021,3.866911
PRIVATE_IP_021,5.192995
PRIVATE_IP_021,5.492926
PRIVATE_IP_021,4.478216
PRIVATE_IP_021,4.783869
PRIVATE_IP_021,4.186869
PRIVATE_IP_021,6.778955
PRIVATE_IP_021,5.299091
PRIVATE_IP_021,5.562067
PRIVATE_IP_021,6.047964
PRIVATE_IP_021,4.555941
PRIVATE_IP_021,13.370991
PRIVATE_IP_021,5.516052
PRIVATE_IP_021,4.589796
PRIVATE_IP_021,6.376982
PRIVATE_IP_021,4.976988
PRIVATE_IP_021,5.042791
PRIVATE_IP_021,5.251169
PRIVATE_IP_021,5.292892
PRIVATE_IP_021,9.663105
PRIVATE_IP_021,4.820108
PRIVATE_IP_021,6.686926
PRIVATE_IP_021,9.502172
PRIVATE_IP_021,3.799915
PRIVATE_IP_021,3.949881
PRIVATE_IP_021,5.120993
PRIVATE_IP_021,6.299019
PRIVATE_IP_021,4.776001
PRIVATE_IP_021,5.941868
PRIVATE_IP_021,4.992962
PRIVATE_IP_021,8.784056
PRIVATE_IP_021,4.657984
PRIVATE_IP_021,5.970955
PRIVATE_IP_021,5.223989
PRIVATE_IP_021,3.834009
PRIVATE_IP_021,5.394936
PRIVATE_IP_021,6.243944
PRIVATE_IP_021,4.785061
PRIVATE_IP_021,3.582001
PRIVATE_IP_021,11.303902
PRIVATE_IP_021,6.008863
PRIVATE_IP_021,8.517981
PRIVATE_IP_021,7.123947
PRIVATE_IP_021,9.433031
PRIVATE_IP_021,5.877972
PRIVATE_IP_021,7.118940
PRIVATE_IP_021,6.880045
PRIVATE_IP_021,5.583048
PRIVATE_IP_021,4.352093
PRIVATE_IP_021,4.359007
PRIVATE_IP_021,4.615068
PRIVATE_IP_021,16.155005
PRIVATE_IP_021,4.302979
PRIVATE_IP_021,7.616997
PRIVATE_IP_021,4.728079
PRIVATE_IP_021,9.490013
PRIVATE_IP_021,5.064011
PRIVATE_IP_021,3.324032
PRIVATE_IP_021,4.575014
PRIVATE_IP_021,11.405945
PRIVATE_IP_021,4.148006
PRIVATE_IP_021,4.744053
PRIVATE_IP_021,6.786823
PRIVATE_IP_021,6.277084
PRIVATE_IP_021,6.884098
PRIVATE_IP_021,3.283978
PRIVATE_IP_021,3.703117
PRIVATE_IP_021,9.168148
PRIVATE_IP_021,4.011154
PRIVATE_IP_021,4.539013
PRIVATE_IP_021,6.108046
PRIVATE_IP_021,6.601095
PRIVATE_IP_021,8.888960
PRIVATE_IP_021,3.432035
PRIVATE_IP_021,5.903006
PRIVATE_IP_021,5.538940
PRIVATE_IP_021,6.564140
PRIVATE_IP_021,6.115913
PRIVATE_IP_021,5.076885
PRIVATE_IP_021,7.328033
PRIVATE_IP_021,7.487059
PRIVATE_IP_021,6.175995
PRIVATE_IP_021,6.077051
PRIVATE_IP_021,5.607843
PRIVATE_IP_021,5.517006
PRIVATE_IP_021,7.195950
PRIVATE_IP_021,6.188154
PRIVATE_IP_021,4.709959
PRIVATE_IP_021,4.022121
PRIVATE_IP_021,4.379034
PRIVATE_IP_021,4.070044
PRIVATE_IP_021,9.076118
PRIVATE_IP_021,6.240129
PRIVATE_IP_021,5.422831
PRIVATE_IP_021,6.086111
PRIVATE_IP_021,7.520914
PRIVATE_IP_021,5.743027
PRIVATE_IP_021,6.692171
PRIVATE_IP_021,4.447222
PRIVATE_IP_021,4.209042
PRIVATE_IP_021,5.465031
PRIVATE_IP_021,4.992008
PRIVATE_IP_021,5.097866
PRIVATE_IP_021,4.918098
PRIVATE_IP_021,5.986929
PRIVATE_IP_021,5.007029
PRIVATE_IP_021,9.346962
PRIVATE_IP_021,5.224943
PRIVATE_IP_021,4.258156
PRIVATE_IP_021,4.328012
PRIVATE_IP_021,10.661125
PRIVATE_IP_021,5.671978
PRIVATE_IP_021,6.723881
PRIVATE_IP_021,9.811878
PRIVATE_IP_021,4.683018
PRIVATE_IP_021,17.493010
PRIVATE_IP_021,5.275965
PRIVATE_IP_021,5.759954
PRIVATE_IP_021,10.977983
PRIVATE_IP_021,6.921053
PRIVATE_IP_021,5.728960
PRIVATE_IP_021,4.563093
PRIVATE_IP_021,4.812002
PRIVATE_IP_021,5.229950
PRIVATE_IP_021,7.123947
PRIVATE_IP_021,5.258799
PRIVATE_IP_021,7.555962
PRIVATE_IP_021,4.956961
PRIVATE_IP_021,4.143000
PRIVATE_IP_021,6.501913
PRIVATE_IP_021,3.813982
PRIVATE_IP_021,10.725975
PRIVATE_IP_021,6.745815
PRIVATE_IP_021,4.345179
PRIVATE_IP_021,5.033970
PRIVATE_IP_021,9.826899
PRIVATE_IP_021,8.449078
PRIVATE_IP_021,3.916025
PRIVATE_IP_021,5.979061
PRIVATE_IP_021,8.990049
PRIVATE_IP_021,4.331112
PRIVATE_IP_021,6.292105
PRIVATE_IP_021,9.690046
PRIVATE_IP_021,8.799791
PRIVATE_IP_021,4.981041
PRIVATE_IP_021,3.746033
PRIVATE_IP_021,3.609896
PRIVATE_IP_021,9.464025
PRIVATE_IP_021,8.112907
PRIVATE_IP_021,9.062052
PRIVATE_IP_021,6.709099
PRIVATE_IP_021,5.396843
PRIVATE_IP_021,6.015062
PRIVATE_IP_021,4.513025
PRIVATE_IP_021,5.634069
PRIVATE_IP_021,9.928942
PRIVATE_IP_021,4.954100
PRIVATE_IP_021,6.760836
PRIVATE_IP_021,5.129814
PRIVATE_IP_021,3.921032
PRIVATE_IP_021,4.119873
PRIVATE_IP_021,6.165981
PRIVATE_IP_021,4.781961
PRIVATE_IP_021,6.902933
PRIVATE_IP_021,3.925085
PRIVATE_IP_021,4.715919
PRIVATE_IP_021,4.390001
PRIVATE_IP_021,7.871866
PRIVATE_IP_021,9.819984
PRIVATE_IP_021,5.563974
PRIVATE_IP_021,6.479025
PRIVATE_IP_021,8.818865
PRIVATE_IP_021,5.290985
PRIVATE_IP_021,4.477978
PRIVATE_IP_021,4.946947
PRIVATE_IP_021,6.031036
PRIVATE_IP_021,4.664898
PRIVATE_IP_021,3.773928
PRIVATE_IP_021,6.036043
PRIVATE_IP_021,8.813858
PRIVATE_IP_021,4.460096
PRIVATE_IP_021,4.487038
PRIVATE_IP_021,4.462004
PRIVATE_IP_021,4.541874
PRIVATE_IP_021,5.252123
PRIVATE_IP_021,5.190849
PRIVATE_IP_021,8.788109
PRIVATE_IP_021,5.669117
PRIVATE_IP_021,7.576942
PRIVATE_IP_021,8.282900
PRIVATE_IP_021,6.004810
PRIVATE_IP_021,6.850004
PRIVATE_IP_021,5.928040
PRIVATE_IP_021,4.336119
PRIVATE_IP_021,7.044077
PRIVATE_IP_021,8.960962
PRIVATE_IP_021,5.957842
PRIVATE_IP_021,4.793882
PRIVATE_IP_021,5.422115
PRIVATE_IP_021,4.847050
PRIVATE_IP_021,5.640030
PRIVATE_IP_021,8.747816
PRIVATE_IP_021,4.528999
PRIVATE_IP_021,10.453939
PRIVATE_IP_021,7.987022
PRIVATE_IP_021,6.475925
PRIVATE_IP_021,8.415937
PRIVATE_IP_021,4.840136
PRIVATE_IP_021,3.896952
PRIVATE_IP_021,5.038023
PRIVATE_IP_021,5.162001
PRIVATE_IP_021,12.704134
PRIVATE_IP_021,3.852844
PRIVATE_IP_021,8.817911
PRIVATE_IP_021,4.395008
PRIVATE_IP_021,7.519960
PRIVATE_IP_021,6.839037
PRIVATE_IP_021,5.677938
PRIVATE_IP_021,6.326199
PRIVATE_IP_021,4.729986
PRIVATE_IP_021,6.649971
PRIVATE_IP_021,3.887892
PRIVATE_IP_021,5.511999
PRIVATE_IP_021,6.554127
PRIVATE_IP_021,9.955883
PRIVATE_IP_021,6.886005
PRIVATE_IP_021,5.391121
PRIVATE_IP_021,9.123087
PRIVATE_IP_021,6.532907
PRIVATE_IP_021,5.657911
PRIVATE_IP_021,11.071920
PRIVATE_IP_021,4.966021
PRIVATE_IP_021,4.348040
PRIVATE_IP_021,6.754875
PRIVATE_IP_021,7.359982
PRIVATE_IP_021,4.991055
PRIVATE_IP_021,6.959915
PRIVATE_IP_021,7.140160
PRIVATE_IP_021,6.612778
PRIVATE_IP_021,3.727198
PRIVATE_IP_021,4.592896
PRIVATE_IP_021,5.118132
PRIVATE_IP_021,4.896879
PRIVATE_IP_021,4.917145
PRIVATE_IP_021,4.342079
PRIVATE_IP_021,4.081011
PRIVATE_IP_021,7.925034
PRIVATE_IP_021,6.283998
PRIVATE_IP_021,4.825830
PRIVATE_IP_021,5.964041
PRIVATE_IP_021,4.585981
PRIVATE_IP_021,6.712198
PRIVATE_IP_021,6.013155
PRIVATE_IP_021,5.170107
PRIVATE_IP_021,4.384041
PRIVATE_IP_021,6.944895
PRIVATE_IP_021,4.952908
PRIVATE_IP_021,7.485151
PRIVATE_IP_021,6.201982
PRIVATE_IP_021,14.816046
PRIVATE_IP_021,7.002831
PRIVATE_IP_021,3.916979
PRIVATE_IP_021,7.946014
PRIVATE_IP_021,7.740974
PRIVATE_IP_021,5.841017
PRIVATE_IP_021,7.357836
PRIVATE_IP_021,5.990028
PRIVATE_IP_021,4.635096
PRIVATE_IP_021,9.668112
PRIVATE_IP_021,4.595995
PRIVATE_IP_021,7.152081
PRIVATE_IP_021,6.751060
PRIVATE_IP_021,4.432201
PRIVATE_IP_021,4.307032
PRIVATE_IP_021,7.381201
PRIVATE_IP_021,4.800081
PRIVATE_IP_021,5.105019
PRIVATE_IP_021,7.845163
PRIVATE_IP_021,4.610062
PRIVATE_IP_021,4.403830
PRIVATE_IP_021,5.333900
PRIVATE_IP_021,5.613089
PRIVATE_IP_021,3.962040
PRIVATE_IP_021,6.753922
PRIVATE_IP_021,5.231857
PRIVATE_IP_021,6.025076
PRIVATE_IP_021,6.355047
PRIVATE_IP_021,5.636930
PRIVATE_IP_021,4.137039
PRIVATE_IP_021,4.473925
PRIVATE_IP_021,3.576994
PRIVATE_IP_021,12.764931
PRIVATE_IP_021,6.438971
PRIVATE_IP_021,5.395889
PRIVATE_IP_021,4.864931
PRIVATE_IP_021,5.986929
PRIVATE_IP_021,4.188061
PRIVATE_IP_021,6.628990
PRIVATE_IP_021,5.506039
PRIVATE_IP_021,4.477024
PRIVATE_IP_021,4.253149
PRIVATE_IP_021,5.851030
PRIVATE_IP_021,5.669117
PRIVATE_IP_021,4.945993
PRIVATE_IP_021,4.992008
PRIVATE_IP_021,7.181168
PRIVATE_IP_021,4.524946
PRIVATE_IP_021,6.443024
PRIVATE_IP_021,8.960962
PRIVATE_IP_021,3.806829
PRIVATE_IP_021,5.449057
PRIVATE_IP_021,5.705118
PRIVATE_IP_021,3.576994
PRIVATE_IP_021,4.184961
PRIVATE_IP_021,4.878044
PRIVATE_IP_021,6.145954
PRIVATE_IP_021,3.733873
PRIVATE_IP_021,5.426168
PRIVATE_IP_021,4.388094
PRIVATE_IP_021,5.339146
PRIVATE_IP_021,12.112856
PRIVATE_IP_021,4.583836
PRIVATE_IP_021,6.989002
PRIVATE_IP_021,7.223845
PRIVATE_IP_021,6.137133
PRIVATE_IP_021,3.728867
PRIVATE_IP_021,8.349895
PRIVATE_IP_021,5.340099
PRIVATE_IP_021,4.407883
PRIVATE_IP_021,5.680084
PRIVATE_IP_021,4.152060
PRIVATE_IP_021,8.434057
PRIVATE_IP_021,4.585028
PRIVATE_IP_021,7.632017
PRIVATE_IP_021,6.125212
PRIVATE_IP_021,6.922960
PRIVATE_IP_021,6.760120
PRIVATE_IP_021,7.986069
PRIVATE_IP_021,5.106926
PRIVATE_IP_021,8.111954
PRIVATE_IP_021,3.946066
PRIVATE_IP_021,7.587910
PRIVATE_IP_021,10.566950
PRIVATE_IP_021,4.004002
PRIVATE_IP_021,7.403135
PRIVATE_IP_021,4.087925
PRIVATE_IP_021,6.356955
PRIVATE_IP_021,9.212017
PRIVATE_IP_021,6.791830
PRIVATE_IP_021,5.136967
PRIVATE_IP_021,5.569935
PRIVATE_IP_021,4.690886
PRIVATE_IP_021,7.398129
PRIVATE_IP_021,4.428148
PRIVATE_IP_021,10.255098
PRIVATE_IP_021,10.595798
PRIVATE_IP_021,5.367041
PRIVATE_IP_021,6.965876
PRIVATE_IP_021,9.390831
PRIVATE_IP_021,3.546953
PRIVATE_IP_021,5.251884
PRIVATE_IP_021,6.837845
PRIVATE_IP_021,9.700060
PRIVATE_IP_021,12.744904
PRIVATE_IP_021,6.039143
PRIVATE_IP_021,6.402016
PRIVATE_IP_021,8.085012
PRIVATE_IP_021,9.066105
PRIVATE_IP_021,4.974842
PRIVATE_IP_021,4.945040
PRIVATE_IP_021,4.414082
PRIVATE_IP_021,12.260199
PRIVATE_IP_021,4.451990
PRIVATE_IP_021,6.072998
PRIVATE_IP_021,8.702040
PRIVATE_IP_021,7.313967
PRIVATE_IP_021,6.327868
PRIVATE_IP_021,4.230022
PRIVATE_IP_021,5.638123
PRIVATE_IP_021,11.970043
PRIVATE_IP_021,3.538847
PRIVATE_IP_021,8.444071
PRIVATE_IP_021,6.685019
PRIVATE_IP_021,4.652977
PRIVATE_IP_021,7.346869
PRIVATE_IP_021,5.302906
PRIVATE_IP_021,8.075953
PRIVATE_IP_021,10.477066
PRIVATE_IP_021,5.368948
PRIVATE_IP_021,13.015985
PRIVATE_IP_021,7.522106
PRIVATE_IP_021,4.175901
PRIVATE_IP_021,4.930973
PRIVATE_IP_021,6.452084
PRIVATE_IP_021,4.862070
PRIVATE_IP_021,5.733013
PRIVATE_IP_021,4.488945
PRIVATE_IP_021,5.095959
PRIVATE_IP_021,4.477978
PRIVATE_IP_021,4.355907
PRIVATE_IP_021,4.171848
PRIVATE_IP_021,5.943060
PRIVATE_IP_021,6.017923
PRIVATE_IP_021,11.923075
PRIVATE_IP_021,4.510880
PRIVATE_IP_021,13.550997
PRIVATE_IP_021,5.882025
PRIVATE_IP_021,4.926920
PRIVATE_IP_021,4.535913
PRIVATE_IP_021,3.796101
PRIVATE_IP_021,5.378962
PRIVATE_IP_021,4.142046
PRIVATE_IP_021,3.669024
PRIVATE_IP_021,6.168842
PRIVATE_IP_021,8.072138
PRIVATE_IP_021,10.069847
PRIVATE_IP_021,7.415771
PRIVATE_IP_021,3.988981
PRIVATE_IP_021,8.174896
PRIVATE_IP_021,8.085966
PRIVATE_IP_021,4.332066
PRIVATE_IP_021,9.106874
PRIVATE_IP_021,5.574942
PRIVATE_IP_021,6.542921
PRIVATE_IP_021,5.670071
PRIVATE_IP_021,3.668070
PRIVATE_IP_021,5.987167
PRIVATE_IP_021,12.219906
PRIVATE_IP_021,5.194187
PRIVATE_IP_021,4.477024
PRIVATE_IP_021,5.070925
PRIVATE_IP_021,4.038095
PRIVATE_IP_021,5.430937
PRIVATE_IP_021,4.650831
PRIVATE_IP_021,7.402897
PRIVATE_IP_021,11.258125
PRIVATE_IP_021,10.836124
PRIVATE_IP_021,4.807949
PRIVATE_IP_021,4.477978
PRIVATE_IP_021,6.824970
PRIVATE_IP_021,4.349947
PRIVATE_IP_021,8.487940
PRIVATE_IP_021,5.061865
PRIVATE_IP_021,13.148069
PRIVATE_IP_021,3.885984
PRIVATE_IP_021,6.864071
