epoch,iso,cpu_pct,load1,mem_total_mib,mem_avail_mib,mem_used_mib,mem_used_pct,swap_used_mib,temp_max_c ,net_br0_rx_mbps,net_br0_tx_mbps,net_br0_total_mbps,net_br0_rx_pps,net_br0_tx_pps,net_br0_rx_errors_s,net_br0_tx_errors_s,net_br0_rx_drops_s,net_br0_tx_drops_s ,net_enp2s0_rx_mbps,net_enp2s0_tx_mbps,net_enp2s0_total_mbps,net_enp2s0_rx_pps,net_enp2s0_tx_pps,net_enp2s0_rx_errors_s,net_enp2s0_tx_errors_s,net_enp2s0_rx_drops_s,net_enp2s0_tx_drops_s ,net_enp1s0_rx_mbps,net_enp1s0_tx_mbps,net_enp1s0_total_mbps,net_enp1s0_rx_pps,net_enp1s0_tx_pps,net_enp1s0_rx_errors_s,net_enp1s0_tx_errors_s,net_enp1s0_rx_drops_s,net_enp1s0_tx_drops_s
1781799423.878696492,2026-06-18T16:17:03+00:00,1.235,0.17,7783.762,7259.098,524.664,6.740,0.000,49.00,0.088064,0.045696,0.133760,136.000000,56.000000,0.000000,0.000000,0.000000,0.000000,0.073216,0.077776,0.150992,110.000000,85.000000,0.000000,0.000000,0.000000,0.000000,0.031784,0.028144,0.059928,28.000000,56.000000,0.000000,0.000000,0.000000,0.000000
1781799425.065058186,2026-06-18T16:17:05+00:00,4.506,0.17,7783.762,7257.957,525.805,6.755,0.000,48.00,0.089408,0.050160,0.139568,143.000000,61.000000,0.000000,0.000000,0.000000,0.000000,0.076336,0.078064,0.154400,116.000000,87.000000,0.000000,0.000000,0.000000,0.000000,0.028160,0.026704,0.054864,27.000000,53.000000,0.000000,0.000000,0.000000,0.000000
1781799426.211215664,2026-06-18T16:17:06+00:00,3.712,0.17,7783.762,7255.363,528.398,6.788,0.000,47.00,0.063920,0.006096,0.070016,112.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.041648,0.039240,0.080888,74.000000,41.000000,0.000000,0.000000,0.000000,0.000000,0.034520,0.037520,0.072040,36.000000,71.000000,0.000000,0.000000,0.000000,0.000000
1781799427.409560273,2026-06-18T16:17:07+00:00,4.603,0.17,7783.762,7252.176,531.586,6.829,0.000,48.00,0.056096,0.001200,0.057296,92.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033136,0.036384,0.069520,65.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.034664,0.030688,0.065352,31.000000,60.000000,0.000000,0.000000,0.000000,0.000000
1781799428.714387796,2026-06-18T16:17:08+00:00,6.977,0.16,7783.762,7253.668,530.094,6.810,0.000,49.00,0.053056,0.001200,0.054256,98.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036832,0.033736,0.070568,69.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.032536,0.035296,0.067832,29.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799429.871890231,2026-06-18T16:17:09+00:00,3.493,0.16,7783.762,7254.820,528.941,6.795,0.000,47.00,0.055368,0.001200,0.056568,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.029152,0.032464,0.061616,60.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.031784,0.032512,0.064296,28.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799431.182263202,2026-06-18T16:17:11+00:00,6.154,0.16,7783.762,7255.184,528.578,6.791,0.000,47.00,0.053888,0.001200,0.055088,101.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.035648,0.033560,0.069208,69.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.033776,0.034256,0.068032,35.000000,68.000000,0.000000,0.000000,0.000000,0.000000
1781799432.340038892,2026-06-18T16:17:12+00:00,3.905,0.16,7783.762,7255.836,527.926,6.782,0.000,48.00,0.060416,0.001200,0.061616,106.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.037888,0.036496,0.074384,70.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.036744,0.036928,0.073672,33.000000,69.000000,0.000000,0.000000,0.000000,0.000000
1781799433.664364490,2026-06-18T16:17:13+00:00,6.654,0.14,7783.762,7255.141,528.621,6.791,0.000,48.00,0.057472,0.001200,0.058672,95.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031648,0.032224,0.063872,63.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.027640,0.028096,0.055736,26.000000,57.000000,0.000000,0.000000,0.000000,0.000000
1781799434.822305530,2026-06-18T16:17:14+00:00,3.478,0.14,7783.762,7256.059,527.703,6.780,0.000,48.00,0.046760,0.001200,0.047960,88.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032224,0.037360,0.069584,65.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.036672,0.033184,0.069856,33.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799436.190900096,2026-06-18T16:17:16+00:00,7.394,0.14,7783.762,7257.223,526.539,6.765,0.000,49.00,0.060320,0.001200,0.061520,96.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033728,0.034072,0.067800,66.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.032360,0.032240,0.064600,33.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799437.336632012,2026-06-18T16:17:17+00:00,4.376,0.14,7783.762,7258.340,525.422,6.750,0.000,48.00,0.055944,0.001200,0.057144,101.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031600,0.032880,0.064480,65.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.034736,0.031168,0.065904,31.000000,61.000000,0.000000,0.000000,0.000000,0.000000
1781799438.487882133,2026-06-18T16:17:18+00:00,3.736,0.13,7783.762,7259.305,524.457,6.738,0.000,48.00,0.056472,0.001200,0.057672,99.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036096,0.035024,0.071120,68.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.030768,0.033552,0.064320,29.000000,67.000000,0.000000,0.000000,0.000000,0.000000
1781799439.770188735,2026-06-18T16:17:19+00:00,5.894,0.13,7783.762,7258.590,525.172,6.747,0.000,48.00,0.050072,0.001200,0.051272,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.028192,0.030720,0.058912,57.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.036416,0.031696,0.068112,31.000000,62.000000,0.000000,0.000000,0.000000,0.000000
1781799441.102208077,2026-06-18T16:17:21+00:00,6.981,0.13,7783.762,7257.871,525.891,6.756,0.000,48.00,0.060720,0.001200,0.061920,99.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.034120,0.036000,0.070120,64.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.027904,0.029560,0.057464,27.000000,56.000000,0.000000,0.000000,0.000000,0.000000
1781799442.265869509,2026-06-18T16:17:22+00:00,3.688,0.13,7783.762,7256.648,527.113,6.772,0.000,48.00,0.068768,0.001200,0.069968,116.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.050304,0.044472,0.094776,91.000000,41.000000,0.000000,0.000000,0.000000,0.000000,0.043792,0.051360,0.095152,42.000000,98.000000,0.000000,0.000000,0.000000,0.000000
1781799443.671851433,2026-06-18T16:17:23+00:00,7.527,0.12,7783.762,7256.113,527.648,6.779,0.000,48.00,0.070296,0.001200,0.071496,103.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.040952,0.031704,0.072656,63.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.030504,0.038408,0.068912,27.000000,54.000000,0.000000,0.000000,0.000000,0.000000
1781799444.828288015,2026-06-18T16:17:24+00:00,3.905,0.12,7783.762,7256.637,527.125,6.772,0.000,48.00,0.051536,0.001200,0.052736,88.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032224,0.037880,0.070104,63.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.036160,0.031216,0.067376,31.000000,63.000000,0.000000,0.000000,0.000000,0.000000
1781799446.222512400,2026-06-18T16:17:26+00:00,7.971,0.12,7783.762,7258.016,525.746,6.754,0.000,49.00,0.057768,0.001200,0.058968,100.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.030800,0.033520,0.064320,61.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.032840,0.032288,0.065128,34.000000,62.000000,0.000000,0.000000,0.000000,0.000000
1781799447.378313018,2026-06-18T16:17:27+00:00,3.913,0.12,7783.762,7258.617,525.145,6.747,0.000,48.00,0.058152,0.001200,0.059352,100.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033664,0.035976,0.069640,67.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.037640,0.033232,0.070872,34.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799448.782940091,2026-06-18T16:17:28+00:00,7.928,0.11,7783.762,7258.102,525.660,6.753,0.000,49.00,0.054752,0.001200,0.055952,97.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032704,0.033744,0.066448,64.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.031040,0.030160,0.061200,30.000000,60.000000,0.000000,0.000000,0.000000,0.000000
1781799449.934398859,2026-06-18T16:17:29+00:00,3.509,0.11,7783.762,7265.516,518.246,6.658,0.000,49.00,0.047960,0.001200,0.049160,81.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.027712,0.032944,0.060656,56.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.033720,0.030640,0.064360,30.000000,61.000000,0.000000,0.000000,0.000000,0.000000
1781799451.271082348,2026-06-18T16:17:31+00:00,6.415,0.11,7783.762,7264.539,519.223,6.671,0.000,48.00,0.061832,0.001200,0.063032,107.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.037232,0.037416,0.074648,73.000000,36.000000,0.000000,0.000000,0.000000,0.000000,0.034296,0.033728,0.068024,34.000000,67.000000,0.000000,0.000000,0.000000,0.000000
1781799452.438420150,2026-06-18T16:17:32+00:00,4.086,0.11,7783.762,7264.547,519.215,6.670,0.000,48.00,0.060152,0.001200,0.061352,106.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.038128,0.039880,0.078008,76.000000,37.000000,0.000000,0.000000,0.000000,0.000000,0.036744,0.035680,0.072424,35.000000,73.000000,0.000000,0.000000,0.000000,0.000000
1781799453.848052204,2026-06-18T16:17:33+00:00,7.871,0.10,7783.762,7262.844,520.918,6.692,0.000,49.00,0.055264,0.001200,0.056464,92.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.029680,0.032600,0.062280,58.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.035016,0.030688,0.065704,29.000000,60.000000,0.000000,0.000000,0.000000,0.000000
1781799455.218169629,2026-06-18T16:17:35+00:00,7.919,0.10,7783.762,7262.613,521.148,6.695,0.000,48.00,0.063376,0.001200,0.064576,108.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.038432,0.037280,0.075712,72.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.033240,0.036896,0.070136,33.000000,68.000000,0.000000,0.000000,0.000000,0.000000
1781799456.385818237,2026-06-18T16:17:36+00:00,4.526,0.10,7783.762,7262.758,521.004,6.693,0.000,48.00,0.051528,0.001200,0.052728,93.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.034288,0.036616,0.070904,69.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.034640,0.033232,0.067872,33.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799457.547816811,2026-06-18T16:17:37+00:00,3.905,0.10,7783.762,7262.516,521.246,6.697,0.000,48.00,0.052560,0.001200,0.053760,88.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.027568,0.028720,0.056288,53.000000,26.000000,0.000000,0.000000,0.000000,0.000000,0.030904,0.029152,0.060056,28.000000,58.000000,0.000000,0.000000,0.000000,0.000000
1781799458.790757736,2026-06-18T16:17:38+00:00,5.466,0.09,7783.762,7262.316,521.445,6.699,0.000,48.00,0.057008,0.001200,0.058208,98.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.035920,0.033264,0.069184,67.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.028680,0.032416,0.061096,29.000000,61.000000,0.000000,0.000000,0.000000,0.000000
1781799459.936155423,2026-06-18T16:17:39+00:00,3.493,0.09,7783.762,7262.332,521.430,6.699,0.000,49.00,0.047960,0.001200,0.049160,79.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.026704,0.031304,0.058008,54.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.033720,0.029680,0.063400,28.000000,58.000000,0.000000,0.000000,0.000000,0.000000
1781799461.299086240,2026-06-18T16:17:41+00:00,7.037,0.09,7783.762,7262.340,521.422,6.699,0.000,48.00,0.061536,0.001200,0.062736,103.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.038000,0.037280,0.075280,70.000000,36.000000,0.000000,0.000000,0.000000,0.000000,0.033760,0.035456,0.069216,33.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799462.452642695,2026-06-18T16:17:42+00:00,3.486,0.09,7783.762,7260.625,523.137,6.721,0.000,48.00,0.060080,0.001200,0.061280,108.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.037552,0.036616,0.074168,74.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.035296,0.035104,0.070400,33.000000,70.000000,0.000000,0.000000,0.000000,0.000000
1781799463.705178814,2026-06-18T16:17:43+00:00,5.835,0.09,7783.762,7259.156,524.605,6.740,0.000,48.00,0.050512,0.001200,0.051712,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.028720,0.032104,0.060824,57.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.031024,0.029200,0.060224,29.000000,58.000000,0.000000,0.000000,0.000000,0.000000
1781799464.991639052,2026-06-18T16:17:44+00:00,6.445,0.09,7783.762,7258.586,525.176,6.747,0.000,49.00,0.053352,0.001200,0.054552,92.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.030256,0.034120,0.064376,60.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.031624,0.027712,0.059336,29.000000,55.000000,0.000000,0.000000,0.000000,0.000000
1781799466.145685764,2026-06-18T16:17:46+00:00,3.947,0.09,7783.762,7257.926,525.836,6.756,0.000,49.00,0.050256,0.001200,0.051456,84.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.029312,0.034536,0.063848,59.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.037040,0.032768,0.069808,36.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799467.447219194,2026-06-18T16:17:47+00:00,6.190,0.09,7783.762,7258.098,525.664,6.753,0.000,49.00,0.061800,0.001200,0.063000,108.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.035152,0.038240,0.073392,69.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.034376,0.031744,0.066120,32.000000,63.000000,0.000000,0.000000,0.000000,0.000000
1781799468.595307006,2026-06-18T16:17:48+00:00,3.501,0.08,7783.762,7257.129,526.633,6.766,0.000,48.00,0.050576,0.001536,0.052112,90.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.030208,0.031616,0.061824,59.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.029560,0.029200,0.058760,30.000000,58.000000,0.000000,0.000000,0.000000,0.000000
1781799469.745274149,2026-06-18T16:17:49+00:00,3.501,0.08,7783.762,7258.516,525.246,6.748,0.000,48.00,0.049360,0.001200,0.050560,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.027232,0.032848,0.060080,54.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.031904,0.025696,0.057600,30.000000,51.000000,0.000000,0.000000,0.000000,0.000000
1781799470.915292462,2026-06-18T16:17:50+00:00,3.863,0.08,7783.762,7258.609,525.152,6.747,0.000,49.00,0.053352,0.001200,0.054552,92.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031216,0.033640,0.064856,62.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.035280,0.032176,0.067456,31.000000,64.000000,0.000000,0.000000,0.000000,0.000000
1781799472.300237544,2026-06-18T16:17:52+00:00,7.286,0.08,7783.762,7258.859,524.902,6.744,0.000,49.00,0.061272,0.001200,0.062472,108.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.050384,0.037280,0.087664,80.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.032464,0.046448,0.078912,32.000000,73.000000,0.000000,0.000000,0.000000,0.000000
1781799473.455373107,2026-06-18T16:17:53+00:00,4.575,0.07,7783.762,7258.836,524.926,6.744,0.000,49.00,0.071688,0.001200,0.072888,96.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036840,0.038568,0.075408,65.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.037888,0.037320,0.075208,33.000000,67.000000,0.000000,0.000000,0.000000,0.000000
1781799474.610895785,2026-06-18T16:17:54+00:00,3.720,0.07,7783.762,7259.672,524.090,6.733,0.000,50.00,0.052008,0.001200,0.053208,95.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031168,0.030800,0.061968,62.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.029600,0.030640,0.060240,29.000000,60.000000,0.000000,0.000000,0.000000,0.000000
1781799475.769336799,2026-06-18T16:17:55+00:00,3.478,0.07,7783.762,7259.641,524.121,6.734,0.000,48.00,0.050472,0.001200,0.051672,86.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031744,0.035984,0.067728,63.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.034776,0.033088,0.067864,31.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799477.157607545,2026-06-18T16:17:57+00:00,7.790,0.07,7783.762,7259.570,524.191,6.734,0.000,48.00,0.061520,0.001200,0.062720,103.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032560,0.034112,0.066672,64.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.033856,0.031280,0.065136,32.000000,62.000000,0.000000,0.000000,0.000000,0.000000
1781799478.307913261,2026-06-18T16:17:58+00:00,3.501,0.07,7783.762,7259.488,524.273,6.735,0.000,49.00,0.051880,0.001200,0.053080,93.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032768,0.036024,0.068792,65.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.035440,0.033712,0.069152,34.000000,67.000000,0.000000,0.000000,0.000000,0.000000
1781799479.674264795,2026-06-18T16:17:59+00:00,7.182,0.15,7783.762,7257.449,526.312,6.762,0.000,48.00,0.059304,0.001200,0.060504,103.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.035248,0.036376,0.071624,70.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.033880,0.031216,0.065096,31.000000,62.000000,0.000000,0.000000,0.000000,0.000000
1781799481.005676892,2026-06-18T16:18:01+00:00,6.452,0.15,7783.762,7255.699,528.062,6.784,0.000,48.00,0.059032,0.001200,0.060232,102.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032656,0.034120,0.066776,65.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.032144,0.031120,0.063264,30.000000,62.000000,0.000000,0.000000,0.000000,0.000000
1781799482.202214792,2026-06-18T16:18:02+00:00,5.042,0.15,7783.762,7255.609,528.152,6.785,0.000,48.00,0.048184,0.001200,0.049384,83.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033200,0.036240,0.069440,65.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.036080,0.033248,0.069328,34.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799483.363236959,2026-06-18T16:18:03+00:00,4.329,0.15,7783.762,7256.055,527.707,6.780,0.000,49.00,0.053952,0.001200,0.055152,93.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.028672,0.032344,0.061016,57.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.030104,0.027136,0.057240,26.000000,54.000000,0.000000,0.000000,0.000000,0.000000
1781799484.543663477,2026-06-18T16:18:04+00:00,4.086,0.22,7783.762,7255.902,527.859,6.782,0.000,48.00,0.057840,0.001200,0.059040,99.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.035968,0.032856,0.068824,68.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.033352,0.037456,0.070808,34.000000,70.000000,0.000000,0.000000,0.000000,0.000000
1781799485.884646118,2026-06-18T16:18:05+00:00,6.929,0.22,7783.762,7255.184,528.578,6.791,0.000,48.00,0.060088,0.001200,0.061288,99.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031264,0.037120,0.068384,61.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.034224,0.030688,0.064912,31.000000,61.000000,0.000000,0.000000,0.000000,0.000000
1781799487.082200350,2026-06-18T16:18:07+00:00,4.017,0.22,7783.762,7253.391,530.371,6.814,0.000,49.00,0.049792,0.001200,0.050992,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032848,0.031560,0.064408,64.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.036600,0.035024,0.071624,34.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799488.457088884,2026-06-18T16:18:08+00:00,7.326,0.20,7783.762,7249.129,534.633,6.869,0.000,48.00,0.064384,0.001200,0.065584,109.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036704,0.038584,0.075288,70.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.031920,0.031120,0.063040,29.000000,62.000000,0.000000,0.000000,0.000000,0.000000
1781799489.681258400,2026-06-18T16:18:09+00:00,4.713,0.20,7783.762,7251.957,531.805,6.832,0.000,49.00,0.052640,0.001200,0.053840,93.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.034288,0.036376,0.070664,67.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.038936,0.035296,0.074232,36.000000,73.000000,0.000000,0.000000,0.000000,0.000000
1781799491.076694781,2026-06-18T16:18:11+00:00,7.957,0.20,7783.762,7254.387,529.375,6.801,0.000,49.00,0.062480,0.001200,0.063680,105.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.034912,0.033640,0.068552,65.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.027904,0.031840,0.059744,27.000000,56.000000,0.000000,0.000000,0.000000,0.000000
1781799492.245071291,2026-06-18T16:18:12+00:00,4.113,0.20,7783.762,7255.004,528.758,6.793,0.000,48.00,0.055792,0.001200,0.056992,94.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033680,0.036760,0.070440,66.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.036080,0.033728,0.069808,34.000000,67.000000,0.000000,0.000000,0.000000,0.000000
1781799493.414329205,2026-06-18T16:18:13+00:00,4.283,0.26,7783.762,7256.801,526.961,6.770,0.000,48.00,0.046392,0.001200,0.047592,84.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.027712,0.032304,0.060016,55.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.030584,0.026704,0.057288,28.000000,54.000000,0.000000,0.000000,0.000000,0.000000
1781799494.677829933,2026-06-18T16:18:14+00:00,5.422,0.26,7783.762,7256.953,526.809,6.768,0.000,48.00,0.059984,0.001200,0.061184,105.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036112,0.033336,0.069448,72.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.033312,0.035584,0.068896,33.000000,70.000000,0.000000,0.000000,0.000000,0.000000
